name;static_instructions;dynamic_instructions
extr_linuxdriverssbuscharbbc_i2c.c_bbc_i2c_getdev.c;13;13
extr_hashcatsrcmodulesmodule_19800.c_module_init.c;88;88
extr_reactossdklib3rdpartyzlibcontribminizipioapi.c_fill_fopen64_filefunc.c;16;16
extr_kphp-kdbtexttext-data.c_list_contained.c;38;117
extr_reactosdllwin32urlmonuri.c_ipv4toui.c;17;2559
extr_emscriptentestsfreetypesrcbaseftstroke.c_ft_stroke_border_get_counts.c;25;25
extr_libgit2depsregexregex_internal.h_bitset_mask.c;5;5
extr_linuxarcharm64kvmvgic-sys-reg-v3.c_access_gic_sre.c;7;7
extr_linuxdriversnetteamteam_mode_loadbalance.c_lb_select_tx_port_get_name.c;12;12
extr_reactosbootfreeldrfreeldrlibfsbtrfs.c_next_length.c;14;23
extr_tenginemodulesngx_http_upstream_check_modulengx_http_upstream_check_module.c_ngx_http_upstream_check_ssl_hello_init.c;15;15
extr_linuxdriverscryptoqatqat_c62xadf_c62x_hw_data.c_get_num_accels.c;14;14
extr_linuxdriversnetethernetamdxgbexgbe-phy-v2.c_xgbe_phy_sfp_verify_eeprom.c;12;1284
extr_linuxdriversnetusbrtl8150.c_pull_skb.c;8;8
extr_linuxdriversmediadvb-frontendscx24120.c_cx24120_read_ber.c;7;7
extr_openpilotphonelibsnanovgfontstash.h_fons__atlasRemoveNode.c;10;10
extr_linuxdriversmdbcachebset.c_bch_btree_keys_init.c;17;17
extr_FFmpeglibswresampleswresample.c_buf_set.c;10;10
extr_linuxdriversmediaceccec-adap.c_cec_log_addr2idx.c;9;9
extr_linuxdriversinfinibandhwi40iwi40iw_ctrl.c_i40iw_get_encoded_wqe_size.c;8;28
extr_netdatacollectorschecks.plugin....daemon..libnetdatainlined.h_str2uint64_t.c;6;6
extr_linuxdriversnetplipplip.c_plip_searchfor.c;10;10
extr_reactossdklib3rdpartylibxml2buf.c_xmlBufSetAllocationScheme.c;7;7
extr_linuxsoundpcies1968.c_snd_es1968_alloc_apu_pair.c;8;8
extr_php-srcsapilitespeedlsapi_main.c_skip_slash.c;8;8
extr_linuxdriversmediacommonv4l2-tpgv4l2-tpg-core.c_tpg_update_mv_step.c;31;31
extr_emscriptentestsfreetypesrcwinfontswinfnt.c_fnt_cmap_char_next.c;15;15
extr_linuxdriversusbhostdwc_otgdwc_otg_pcd.c_assign_perio_tx_fifo.c;13;13
extr_reactosdlldirectxwinewined3dglsl_shader.c_glsl_vertex_pipe_pixel_shader.c;9;9
extr_toxcoretoxcoreassoc.c_odd_min9_is_prime.c;18;18
extr_reactoswin32ssgdidibdib24bppc.c_DIB_24BPP_HLine.c;22;22
extr_ccvlib3rdpartysqlite3sqlite3.c_transferJoinMarkings.c;8;8
extr_linuxdriversstagingrtl8192uieee80211ieee80211.h_ieee80211_is_empty_essid.c;12;12
extr_labq3map2q3map2lightmaps.c_AllocLMBlock.c;22;22
extr_labenginecoderenderergl2tr_vbo.c_R_VaoPackTangent.c;43;43
extr_hashcatsrcmodulesmodule_11860.c_module_init.c;87;87
extr_linuxdriversnetwirelessathath9kar5008_phy.c_ar5008_hw_set_radar_conf.c;5;5
extr_linuxdriversgpudrmnouveaunvkmsubdevclkmcp77.c_calc_P.c;19;19
extr_linuxdriversgpudrmamddisplaydcvirtualvirtual_link_encoder.c_virtual_link_encoder_construct.c;12;12
extr_linuxdriversstagingrtl8723bshalHalPhyRf_8723B.c_ConfigureTxpowerTrack_8723B.c;21;21
extr_linuxarchpowerpcplatformscellspufsswitch.c_init_priv1.c;18;18
extr_mpvplayersub.c_get_order.c;10;10
extr_linuxdriversmediausbstkwebcamstk-webcam.c_stk_v4l_vm_close.c;4;4
extr_ijkplayerijkmediaijksdlandroidijksdl_codec_android_mediaformat_java.c_setup_aformat.c;11;11
extr_kittykittyline-buf.c_linebuf_index.c;3;3
extr_hashcatsrcmodulesmodule_00900.c_module_init.c;86;86
extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_tim.c_TI2_Config.c;23;23
extr_anypixelfirmwarecontrollerThirdPartylwip-1.4.1srccorepbuf.c_pbuf_clen.c;7;9
extr_darwin-xnubsddevmunge.c_munge_wwws.c;10;10
extr_linuxarchpowerpckerneltraps.c_emulate_popcntb_inst.c;26;26
extr_FFmpeglibavcodecmlpenc.c_copy_matrix_params.c;13;13
extr_ijkplayerijkmediaijkplayerpipeline..ff_ffplay_def.h_ffp_reset_demux_cache_control.c;14;14
extr_linuxdriversnetethernetinteligbvfmbx.c_e1000_init_mbx_params_vf.c;25;25
extr_php-srcextpcrepcre2libsljitsljitNativeTILEGX_64.c_get_any_valid_pipe.c;10;10
extr_kphp-kdbpmemcachedpmemcached-data.c_get_hash.c;12;1792
extr_linuxdriversnetethernetsfcfalconnic.c_ef4_nic_fix_nodesc_drop_stat.c;16;16
extr_linuxdriversdmacoh901318.c_coh901318_get_bytes_in_lli.c;10;12
extr_radare2librasmarchppclibvlevle.c_set_ppc_fields.c;8;8
extr_darwin-xnuosfmkcorecryptoccdbrgsrcccdrbg_nisthmac.c_ccdrbg_factory_nisthmac.c;11;11
extr_linuxdriversnetwirelessathath5kmac80211-ops.c_ath5k_get_antenna.c;7;7
extr_reactosdlldirectxwined3dcompiler_43d3dcompiler_private.h_set_parse_status.c;4;4
extr_micropythonportsteensycoremk20dx128.c__close.c;3;3
extr_linuxdriversmtdnandrawnand_base.c_nand_op_parser_must_split_instr.c;8;8
extr_linuxfsext4mballoc.c_mb_set_largest_free_order.c;6;6
extr_linuxdriversgpudrmamdpowerplayhwmgrvega10_hwmgr.c_vega10_set_default_registry_data.c;70;70
extr_tenginemodulesngx_http_lua_modulesrcngx_http_lua_capturefilter.c_ngx_http_lua_capture_filter_init.c;10;10
extr_micropythonportsstm32usbhostClassMTPSrcusbh_mtp.c_MTP_FindCtlEndpoint.c;14;14
extr_linuxdriversnetethernetmellanoxmlxswspectrum_mr.c_mlxsw_sp_mr_dev_vif_lookup.c;7;7
extr_php-srcZendzend_inheritance.c_zend_verify_abstract_class_function.c;4;4
extr_nginxsrchttpmodulesngx_http_gunzip_filter_module.c_ngx_http_gunzip_filter_init.c;10;10
extr_netdatatestsprofilebenchmark-line-parsing.c_fast_strtoull.c;6;6
extr_darwin-xnubsdnetcontent_filter.c_fill_cfil_hash_entry_from_inp.c;12;12
extr_nginxsrccorengx_array.c_ngx_array_destroy.c;14;14
extr_obs-studiolibobsutildstr.c_astrcmp_n.c;20;20
extr_emscriptensystemlibhtml5dom_pk_codes.c_emscripten_compute_dom_pk_code.c;201;716
extr_labq3map2q3map2brush.c_CountBrushList.c;7;9
extr_linuxdriversnetwirelessathath9krecv.c_ath9k_apply_ampdu_details.c;14;14
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libutf32.h_utf32_wctomb.c;21;21
extr_radare2librcorepanels.c_savePanelPos.c;4;4
extr_linuxdriverscharipmiipmi_si_intf.c_current_global_enables.c;25;25
extr_kphp-kdbcommonutf8_utils.c_string_to_utf8.c;16;22
extr_linuxfsnfsdnfs4state.c_opaque_hashval.c;11;1791
extr_linuxfscifssmbencrypt.c_str_to_key.c;55;92
extr_darwin-xnuosfmki386cpu_threads.c_x86_cache_free.c;10;10
extr_linuxdriversnetwirelessinteliwlwifimvmscan.c_iwl_mvm_scan_uid_by_status.c;9;9
extr_FFmpeglibavdevicepulse_audio_enc.c_pulse_map_channels_to_pulse.c;53;53
extr_linuxnetmac80211wpa.c_ieee80211_crypto_cs_pn_compare.c;15;15
extr_mongooseexamplesESP8266_RTOSusermongoose.c_mg_strcmp.c;16;16
extr_linuxlibraid6mktables.c_gfmul.c;19;119
extr_obs-studiotesttest-inputsync-pair-vid.c_fill_texture.c;13;5380
extr_emscriptentestssqlitesqlite3.c_identLength.c;12;529
extr_darwin-xnubsdmiscfsdevfsdevfs_vnops.c_dn_mark_for_delayed_times_update.c;7;7
extr_linuxdriversscsipm8001pm8001_sas.c_pm8001_get_ncq_tag.c;16;16
extr_FFmpeglibavcodecvp6.c_vp6_block_variance.c;25;173
extr_linuxdriversgpudrmtegrasor.c_tegra_sor_hdmi_find_settings.c;14;14
extr_labenginecodeclientsnd_wavelet.c_decodeMuLaw.c;9;9
extr_FFmpeglibavcodecj2kenc.c_getcut.c;13;13
extr_reactosdriverscryptoksecdddispatch.c_KsecQueryFileInformation.c;5;5
extr_reactossdktoolswidlparser.tab.c_init_loc_info.c;10;10
extr_linuxdriversmediaplatformomap3ispispstat.c_isp_stat_buf_clear.c;5;5
extr_kphp-kdbvkextvkext_schema_memcache.c_get_constructor_by_name.c;9;9
extr_micropythonpybc.c_mp_decode_uint_skip.c;5;5
extr_linuxdriversmediai2cs5c73m3s5c73m3-core.c_s5c73m3_enum_frame_size.c;10;10
extr_linuxdriversnetwirelesstiwl18xx..wlcoretx.h_wl1271_tx_total_queue_count.c;8;8
extr_radare2librutilidpool.c_get_msb.c;12;180
extr_reactosdllwin32comctl32treeview.c_TREEVIEW_ComputeItemRect.c;14;14
extr_linuxdriversdmapl330.c__alloc_event.c;10;10
extr_opensslcryptoececp_nistp521.c_felem_scalar.c;27;27
extr_linuxnettipcgroup.c_tipc_group_decr_active.c;8;8
extr_linuxdriverscryptoamcccrypto4xx_core.c_crypto4xx_get_n_sd.c;6;6
extr_hashcatsrcmodulesmodule_10300.c_module_init.c;88;88
extr_tenginesrccorengx_string.c_ngx_filename_cmp.c;22;22
extr_linuxdriversgpudrmbochsbochs_mm.c_bochs_ttm_placement.c;30;32
extr_FFmpeglibavcodecevrcdec.c_interpolate_delay.c;33;33
extr_linuxdriversvfiovfio_iommu_spapr_tce.c_tce_iommu_find_free_table.c;9;9
extr_disquedepshiredisdict.c_dictGenHashFunction.c;11;1791
extr_linuxtoolsperfuibrowsersannotate.c_disasm__cmp.c;8;8
extr_linuxdriversnetethernetqlogicqedqed_init_ops.c_qed_init_store_rt_agg.c;13;345
extr_reactossdklibdriversipnetworkchecksum.c_ChecksumFold.c;5;5
extr_brotlicencentropy_encode.c_Reverse.c;4;4
extr_linuxdriversmediadvb-frontendscxd2880cxd2880_spi_device.c_cxd2880_spi_device_create_spi.c;13;13
extr_labenginecodegameg_items.c_Pickup_Armor.c;15;15
extr_linuxdriversscsiisciport.c_sci_port_is_wide.c;9;9
extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_usart.c_USART_StructInit.c;13;13
extr_reactossdklib3rdpartylibxml2parser.c_namePop.c;7;7
extr_darwin-xnubsdnetpf.c_pf_state_lookup_aux.c;10;10
extr_linuxdriversmediaplatformdavincidm644x_ccdc.c_ccdc_set_pixel_format.c;13;13
extr_reactosdlldirectxwinewined3dview.c_get_buffer_view_range.c;10;10
extr_radare2librasmarcharmaarch64aarch64.h_empty_qualifier_sequence_p.c;9;9
extr_linuxsoundpcihdahda_generic.c_cvt_from_vref_idx.c;7;7
extr_obs-studiodepsw32-pthreadspthread_barrierattr_setpshared.c_pthread_barrierattr_setpshared.c;13;13
extr_radare2librasmarcharcgnuarc-opc.c_lookup_register.c;16;16
extr_linuxdriversnetethernethisiliconhns3hns3vfhclgevf_main.c_hclgevf_init_roce_base_info.c;8;8
extr_emscriptentestsenetpacket.c_reflect_crc.c;22;3326
extr_linuxdriverss390ciodevice_pgid.c_nop_build_cp.c;10;10
extr_linuxtoolsperfutiltrace-event-parse.c_trace_find_next_event.c;18;18
extr_linuxdriversstagingwilc1000wilc_wlan.c_add_tcp_pending_ack.c;6;6
extr_linuxdriversnetwirelessathath9kmac.c_ath9k_hw_clear_queue_interrupts.c;11;11
extr_linuxdriversinfinibandcorecma.c_cma_set_rep_event_data.c;10;10
extr_linuxsoundpcihdapatch_realtek.c_alc662_fixup_usi_headset_mic.c;3;3
extr_linuxdriverscryptonxnx-842.c_update_param.c;13;13
extr_linuxtoolsvmpage-types.c_bit_mask_ok.c;12;12
extr_radare2librcorepanels.c_handle_tab_next.c;6;6
extr_hashcatsrcmodulesmodule_06212.c_module_init.c;92;92
extr_emscriptensystemliblibcmuslsrcregexregcomp.c_tre_purge_regset.c;6;6
extr_reactosdllwin32urlmonuri.c_find_file_extension.c;19;2815
extr_nginxsrchttpmodulesngx_http_ssi_filter_module.c_ngx_http_ssi_set_variable.c;16;16
extr_reactosbaseapplicationsgameswinminemain.c_CheckLevel.c;30;30
extr_wcdbandroidsqlciphersqlite3.c_incrAggDepth.c;5;5
extr_nodemcu-firmwareappmodulesbme680.c_calc_heater_dur.c;12;14
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_ioctl_rtl.c_oid_rt_get_total_rx_bytes_hdl.c;5;5
extr_linuxdriversmediausbstk1160stk1160-v4l.c_div_round_integer.c;7;7
extr_linuxnetmac80211rate.c_rc_send_low_basicrate.c;6;6
extr_linuxnetwirelesswext-compat.c_cfg80211_set_key_mgt.c;10;10
extr_linuxdriversnetethernetchelsiocxgbsubr.c_init_link_config.c;19;19
extr_labenginecoderenderergl1tr_shade.c_RB_BeginSurface.c;24;24
extr_linuxdriversnetwirelessbroadcombrcm80211brcmfmaccfg80211.c_brcmf_get_first_free_bsscfgidx.c;9;9
extr_linuxdriverslightnvmpblk.h_pblk_ppa32_to_ppa64.c;30;30
extr_FFmpeglibavutilhwcontext_qsv.c_map_frame_to_surface.c;10;10
extr_linuxsoundppcsnd_ps3.c_snd_ps3_bump_buffer.c;19;19
extr_hashcatsrcmodulesmodule_11100.c_module_init.c;86;86
extr_netdatalibnetdataadaptive_resortable_list..inlined.h_str2uint32_t.c;6;6
extr_linuxkernelcgroupcgroup-v1.c_pidlist_uniq.c;22;2807
extr_linuxdriversnetwirelessbroadcombrcm80211brcmsmacphyphy_n.c_wlc_phy_txpwr_nphy_srom_convert.c;24;27
extr_linuxdriversinfinibandhwocrdmaocrdma_verbs.c_get_encoded_page_size.c;11;128
extr_reactosdllwin32dbghelpdwarf.c_dwarf2_leb128_length.c;7;7
extr_darwin-xnuosfmki386commpagecommpage.c_commpage_set_spin_count.c;12;12
extr_labenginecodeq3_uiui_qmenu.c_Bitmap_Init.c;24;24
extr_linuxdriversstagingrtl8723bscorertw_wlan_util.c_allocate_fw_sta_entry.c;7;7
extr_linuxdriversdmati..dmaengine.h_dma_cookie_assign.c;9;9
extr_linuxdriversinfinibandhwqibqib_iba7322.c_qib_7322_get_base_info.c;18;18
extr_linuxdriversgpudrmmsmdispdpu1dpu_hw_interrupts.c_dpu_hw_intr_get_valid_interrupts.c;12;12
extr_radare2shlrgrubfsfat.c_fat_log2.c;10;10
extr_reactossdklib3rdpartylibxml2uri.c_xmlNormalizeURIPath.c;51;1144
extr_hashcatsrcmodulesmodule_00030.c_module_init.c;86;86
extr_linuxdriversacpiprocessor_throttling.c_acpi_get_throttling_state.c;9;9
extr_reactosdlldirectxwined3dcompiler_43hlsl.tab.c_yystpcpy.c;9;4989
extr_linuxarcharmkernelbios32.c_pci_fixup_dec21285.c;3;3
extr_hashcatdepsLZMA-SDKCLzmaEnc.c_CheckErrors.c;4;4
extr_linuxdriversgpudrmamdamdgpuvce_v2_0.c_vce_v2_0_set_ring_funcs.c;9;9
extr_netdatalibnetdataclocks..inlined.h_str2ul.c;6;6
extr_BGAQRCode-Androidzbarsrcmainjnizbarconvert.c_uv_roundup.c;27;27
extr_linuxdriversinfinibandswrxerxe_qp.c_rxe_qp_to_init.c;19;19
extr_linuxdriverspcihotplugacpiphp_core.c_acpiphp_register_attention.c;15;15
extr_linuxdriversmediausbcx231xxcx231xx-video.c_cx231xx_swab.c;15;1277
extr_linuxfsnfsnfs4proc.c_nfs4_clear_cap_atomic_open_v1.c;4;4
extr_linuxdrivershidhid-lg4ff.c_lg4ff_raw_event.c;11;11
extr_linuxnetmac80211wpa.c_gcmp_hdr2pn.c;13;13
extr_linuxdriversinfinibandhwi40iwi40iw_hmc.c_i40iw_clr_sd_entry.c;15;15
extr_Craftdepssqliteshell.c_strlen30.c;8;268
extr_FFmpeglibswscalergb2rgb.c_rgb16to24.c;33;3185
extr_hashcatsrcmodulesmodule_13741.c_module_init.c;93;93
extr_linuxdriversusbtypectcpm.c_tcpm_copy_vdos.c;8;8
extr_linuxdriversnetethernetmellanoxmlxswswitchx2.c_mlxsw_sx_to_ptys_upper_speed.c;10;10
extr_obs-studiodepsw32-pthreadspthread_mutexattr_getrobust.c_pthread_mutexattr_getrobust.c;12;12
extr_darknetsrcutils.c_top_k.c;33;766874
extr_kphp-kdbdhcpdhcp-data.c_dhcp_macaddr_load.c;10;45
extr_FFmpeglibavcodecac3enc.c_count_frame_bits_fixed.c;42;42
extr_reactossdklibrossymdwarfget.c_dwarfgetnref.c;12;12
extr_linuxsoundpciasihpihpicmn.c_subsys_get_adapter.c;11;11
extr_linuxdriversnetethernetsynopsysdwc-xlgmac-desc.c_xlgmac_init_desc_ops.c;15;15
extr_linuxdriversnetethernetmellanoxmlx5coreen_tc.c_get_flags.c;8;8
extr_tenginesrchttpmodulesngx_http_addition_filter_module.c_ngx_http_addition_filter_init.c;10;10
extr_labenginecodebspcl_utils.c_ConvertPath.c;11;594
extr_linuxdriversstagingcomedikcomedilib..comedidev.h_comedi_check_trigger_src.c;11;11
extr_kittyglfwwindow.c__glfwWindowForId.c;6;6
extr_h2odepspicotlsdepscifrasrccurve25519.naclref.c_mult121665.c;30;574
extr_libuiunixdrawmatrix.c_c2m.c;7;7
extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_spi.c_I2S_StructInit.c;13;13
extr_os-tutorial22-malloclibcmem.c_memory_copy.c;10;1536
extr_linuxdriversnetethernetnetronomenfpnfp_net_common.c_nfp_net_vector_assign_rings.c;21;21
extr_hashcatsrcmodulesmodule_04010.c_module_init.c;86;86
extr_FFmpeglibavformatmpegts.c_skip_identical.c;8;8
extr_linuxsoundsocqcomqdsp6q6routing.c_get_session_from_id.c;9;9
extr_linuxsoundpciak4531_codec.c_snd_ak4531_info_double.c;13;13
extr_darwin-xnubsddevi386stubs.c_copystr.c;18;52
extr_tigsrcui.c_file_finder_move.c;34;34
extr_hashcatsrcmodulesmodule_12000.c_module_init.c;89;89
extr_mpvaudiochmap.c_mp_chmap_from_lavc.c;11;11
extr_linuxarchs390pcipci_clp.c_clp_store_query_pci_fngrp.c;11;11
extr_linuxarchx86kernelcpumcheckmce.c_mce_centaur_feature_init.c;6;6
extr_gitobject.c_object_list_contains.c;10;12
extr_linuxarchpowerpckvme500_mmu.c_kvmppc_set_sregs_e500_tlb.c;5;5
extr_linuxdriversstagingmediaimximx-media-internal-sd.c_find_intsd_by_grp_id.c;7;7
extr_linuxdriversinputjoystickadi.c_adi_get_bits.c;8;8
extr_linuxdriversmtdnandrawlpc32xx_slc.c_lpc32xx_slc_ecc_copy.c;19;3831
extr_obs-studiotesttest-inputsync-audio-buffering.c_fill_texture.c;13;2164
extr_netdatacollectorstc.plugin....daemon..libnetdatainlined.h_str2uint32_t.c;6;6
extr_linuxdriversgpudrmamddisplaydcdce100dce100_hw_sequencer.c_get_max_pixel_clock_for_all_paths.c;9;9
extr_FFmpeglibavformatadp.c_adp_probe.c;7;7
extr_opensslcryptoeccurve25519.c_fe_neg.c;9;74
extr_linuxdriversstagingvc04_servicesbcm2835-codecbcm2835-v4l2-codec.c_vb2_to_mmal_buffer.c;18;18
extr_linuxdriversmmchostsdhci-pci-core.c_mfd_emmc_probe_slot.c;9;9
extr_linuxdriversinfinibandhwqibqib_iba6120.c_qib_6120_tidtemplate.c;7;7
extr_FFmpeglibavfiltervf_colormatrix.c_inverse3x3.c;76;76
extr_emscriptentestsopenjpeglibopenjpegpi.c_pi_next_lrcp.c;10;10
extr_linuxfsexofsore_raid.c__sp2d_max_pg.c;6;6
extr_reactosdll3rdpartylibxsltkeys.c_skipString.c;14;14
extr_radare2librasmarcharmarmass64.c_countTrailingZeros.c;7;7
extr_Arduinotestsdevicetest_libcmemmove1.c_mymemmove.c;10;1536
extr_linuxdriversinfinibandulpipoibipoib_main.c_ipoib_set_dev_features.c;6;6
extr_micropythonportsteensycoremk20dx128.c___cxa_guard_release.c;2;2
extr_linuxcryptoshash.c_shash_prepare_alg.c;29;29
extr_masscansrccrypto-blackrock2.c_bit_count.c;9;44
extr_linuxsoundpciac97ac97_patch.c_patch_vt1613.c;7;7
extr_linuxarchx86kvmsvm.c_svm_msrpm_offset.c;10;10
extr_raspberry-pi-osexerciseslesson042avenitosrcprintf.c_ui2a.c;52;83
extr_darwin-xnubsdkernkpi_mbuf.c_mbuf_get_buffer_status.c;9;9
extr_darwin-xnubsdkernkpi_mbuf.c_mbuf_pkt_new_flow.c;9;9
extr_linuxdriversnetusbhso.c_hso_get_mux_ports.c;17;17
extr_linuxdriversnetethernetfreescalefmanfman_keygen.c_get_free_scheme_id.c;7;7
extr_labenginecodeuiui_shared.c_ToWindowCoords.c;15;15
extr_linuxdriversinputtouchscreenwacom_w8001.c_scale_touch_coordinates.c;22;22
extr_linuxsoundpciice1712quartet.c_get_binary.c;39;523
extr_redissrcgeohash.c_geohash_move_y.c;26;26
extr_reactosmodulesrosappsapplicationsnetncftpStrnStrncpy.c_Strncpy.c;16;2042
extr_FFmpeglibavcodecvorbis.c_ff_vorbis_nth_root.c;14;3837
extr_linuxarchs390kernelruntime_instr.c_init_runtime_instr_cb.c;9;9
extr_linuxdriversstagingrtl8723bshalrtl8723b_phycfg.c_phy_CalculateBitShift.c;6;6
extr_kphp-kdbstoragestorage-import.c_compare_buff.c;21;21
extr_linuxdriversirqchipirq-stm32-exti.c_stm32_exti_to_irq.c;15;15
extr_linuxdriversnetethernetchelsiocxgb3cxgb3_main.c_collect_sge_port_stats.c;8;8
extr_hashcatsrcmodulesmodule_00023.c_module_init.c;86;86
extr_linuxdriversgpudrmdrm_dp_mst_topology.c_drm_dp_msg_data_crc4.c;45;44977
extr_reactosdllwin32riched20writer.c_find_color_in_colortbl.c;10;10
extr_darknetexamplesgo.c_flip_board.c;14;3976
extr_linuxdriversvideofbdevxilinxfb.c_xilinx_fb_setcolreg.c;5;5
extr_xhyvesrcps2mouse.c_fifo_put.c;4;4
extr_linuxdriversvideofbdevvfb.c_vfb_pan_display.c;22;22
extr_darwin-xnubsdkernkern_memorystatus.c_memorystatus_get_proccnt_upto_priority.c;5;5
extr_FFmpeglibavfiltervf_bm3d.c_do_block_ssd.c;22;22
extr_linuxdriversacpipptt.c_update_cache_properties.c;18;18
extr_radare2libranalflirt.c_node_pattern_match.c;9;9
extr_radare2librasmpasm_x86_nz.c_oplldt.c;5;5
extr_linuxnetbluetoothsmp.c_swap_buf.c;8;1788
extr_ccvlibccv_convnet.c__ccv_convnet_find_scan.c;8;8
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeqrdec.c_qr_pack_buf_read.c;19;19
extr_linuxdriversscsiqla2xxxqla_nx.c_qla82xx_validate_template_chksum.c;9;9
extr_Mirai-Source-Codeloadersrcconnection.c_connection_consume_prompt.c;6;6
extr_darwin-xnuosfmkkernthread_policy.c_thread_user_promotion_qos_for_pri.c;7;7
extr_linuxdriverspinctrlpinctrl-rockchip.c_pin_to_bank.c;9;9
extr_linuxarcharmmach-sa1100clock.c_clk_gpio27_enable.c;6;6
extr_linuxdriversvideofbdevacornfb.c_acornfb_adjust_timing.c;38;38
extr_linuxdriversvideofbdevnvidianv_hw.c_nv10CalcArbitration.c;169;171
extr_darwin-xnulibkernuuiduuid.c_uuid_random_setflags.c;9;9
extr_linuxdriversregulatorcore.c_regulator_get_hardware_vsel_register.c;9;9
extr_darwin-xnulibsyscallwrappersstringstrcmp.c__libkernel_strcmp.c;7;7
extr_linuxdriversnetethernetqlogicqlcnicqlcnic_83xx_init.c_qlcnic_83xx_config_buff_descriptors.c;11;11
extr_goaccesssrcopesys.c_parse_android.c;12;322
extr_linuxdriversgpuipu-v3ipu-image-convert.c_calc_tile_dimensions.c;10;10
extr_opensslcryptoececp_nistp224.c_felem_to_bin28.c;19;123
extr_radare2librcryptopcrypto_serpent_algo.c_apply_xor.c;5;5
extr_linuxsoundpcihdapatch_realtek.c_alc269_fixup_hp_mute_led_micx.c;3;3
extr_linuxfsisofsdir.c_isofs_name_translate.c;14;14
extr_curldocsexamplessynctime.c_conf_init.c;13;13
extr_linuxdriversstagingvboxvideovbox_irq.c_validate_or_set_position_hints.c;22;22
extr_redissrcnotify.c_keyspaceEventsStringToFlags.c;18;18
extr_linuxdriversstagingrtl8712rtl871x_ioctl_rtl.c_oid_rt_get_rx_total_packet_hdl.c;6;6
extr_linuxdriversnetethernethisiliconhns3hns3_enet.c_hns3_vector_gl_rl_init.c;15;15
extr_netdatalibnetdatabuffer..inlined.h_str2ul.c;6;6
extr_linuxdriversvideofbdevnvidianv_setup.c_NVSelectHeadRegisters.c;16;16
extr_linuxnetbluetooth6lowpan.c_netdev_setup.c;12;12
